"count","Country Incorporated (1)"
10639,BRITISH VIRGIN ISLANDS
4523,JERSEY
2986,ISLE OF MAN
2732,GUERNSEY
871,PANAMA
783,NETHERLANDS
643,CYPRUS
623,SEYCHELLES
604,GIBRALTAR
588,BAHAMAS
459,HONG KONG
399,LUXEMBOURG
362,IRELAND
347,CAYMAN ISLANDS
262,MAURITIUS
260,LIBERIA
184,LIECHTENSTEIN
184,GERMANY
177,SWITZERLAND
176,ITALY
172,BELIZE
160,SINGAPORE
145,JAPAN
140,"DELAWARE, U.S.A."
140,MARSHALL ISLANDS
136,ANGUILLA
133,AUSTRALIA
125,ST KITTS AND NEVIS
106,BERMUDA
101,U.S.A.
92,TURKS AND CAICOS ISLANDS
82,NIGERIA
76,FRANCE
72,NEW ZEALAND
71,SPAIN
60,SWEDEN
54,MALTA
53,"NEW YORK, U.S.A."
50,DENMARK
49,UNITED ARAB EMIRATES
49,MALAYSIA
42,ST VINCENT AND GRENADINES
41,CHANNEL ISLANDS
41,BELGIUM
39,MONACO
35,INDIA
30,BARBADOS
28,CHINA
28,KUWAIT
27,ISRAEL
25,SAUDI ARABIA
23,DUBAI
23,CANADA
20,NIUE
20,SAMOA
19,DOMINICA
18,MADEIRA
18,SOUTH AFRICA
17,CURACAO 
15,THAILAND
15,ANTIGUA AND BARBUDA
15,BRUNEI
14,BAHRAIN
14,DUTCH ANTILLES
13,QATAR
13,"LABUAN, MALAYSIA"
13,PORTUGAL
13,THE WEST INDIES
12,ST LUCIA
12,LEBANON
10,JORDAN
10,NORWAY
10,TURKEY
10,"CALIFORNIA, U.S.A."
9,GREECE
9,COSTA RICA
9,ALDERNEY
9,BANGLADESH
8,"FLORIDA, U.S.A."
8,OMAN
8,BRAZIL
7,"WYOMING, U.S.A."
7,COOK ISLANDS
7,AUSTRIA
7,ABU DHABI
6,BULGARIA
6,RAS AL KHAIMAH
6,"WASHINGTON, U.S.A."
6,"TEXAS, U.S.A."
6,MACAU
5,THE VIRGIN ISLANDS
5,FINLAND
5,CZECH REPUBLIC
5,"MASSACHUSETTS, U.S.A."
4,"CONNECTICUT, U.S.A."
4,"ONTARIO, CANADA"
4,"BRITISH COLUMBIA, CANADA"
4,GHANA
4,"MARYLAND, U.S.A."
4,"OKLAHOMA, U.S.A."
3,"VIRGINIA, U.S.A."
3,KOREA
3,WESTERN SAMOA
3,UGANDA
3,"PENNSYLVANIA, U.S.A."
3,ESTONIA
3,"NEVADA, U.S.A."
3,SOUTH KOREA
3,RAS AL KHAIMAH FREE TRADE ZONE
2,SHARJAH
2,GRENADA
2,SWAZILAND
2,JEBEL ALI FREE ZONE
2,ETHIOPIA
2,LIBYA
2,MOROCCO
2,TAIWAN
2,GEORGIA
2,RUSSIA
2,EGYPT
2,THE REPUBLIC OF KOREA
2,"ILLINOIS, U.S.A."
2,HUNGARY
2,REPUBLIC OF KOREA
2,"MICHIGAN, U.S.A."
2,MACAO
2,BOTSWANA
2,"GEORGIA, U.S.A."
2,FUJAIRAH
1,LATVIA
1,"OHIO, U.S.A."
1,"OREGON, U.S.A."
1,"MAINE, U.S.A."
1,"VERMONT, U.S.A."
1,HEILIGKREUZ
1,BELARUS
1,URUGUAY
1,VANUATU
1,"NEW JERSEY, U.S.A."
1,TRINIDAD AND TOBAGO
1,UNITED REPUBLIC OF TANZANIA
1,"SOUTH DAKOTA, U.S.A."
1,THE EUROPEAN UNION UNDER THE TREATY ON EUROPEAN UNION AND THE TREATY ON THE FUNCTIONING OF THE EUROPEAN UNION
1,COLOMBIA
1,AJMAN
1,NORTH CYPRUS
1,TENERIFE
1,"ALBERTA, CANADA"
1,"SOUTH CAROLINA, U.S.A."
1,SAMAO
1,NUIE
1,"IOWA, U.S.A."
1,NORTH KOREA
1,SLOVAKIA
1,"ALASKA, U.S.A."
1,AFGHANISTAN
1,THE NIUE
1,MONGOLIA
1,THE REPUBLIC OF LIBE RIA
1,POLAND
1,INDONESIA
1,CHILE
1,TOGO
1,FUJAIRAH MEDIA FREE ZONE
1,CITY OF PANANMA
1,"NEW MEXICO, U.S.A."
1,ROVEREDO GR
1,LITHUANIA
1,SERBIA
1,AJMAN FREE ZONE
1,"LOUISIANA, U.S.A."
1,SIERRA LEONE
