"country_incorporated_1","acquisition_year","count","rn"
BRITISH VIRGIN ISLANDS,2008,558,1
ISLE OF MAN,2008,136,2
JERSEY,2008,112,3
GUERNSEY,2008,103,4
PANAMA,2008,61,5
BRITISH VIRGIN ISLANDS,2009,514,1
GUERNSEY,2009,187,2
IRELAND,2009,120,3
JERSEY,2009,112,4
ISLE OF MAN,2009,87,5
BRITISH VIRGIN ISLANDS,2010,691,1
JERSEY,2010,169,2
GUERNSEY,2010,152,3
ISLE OF MAN,2010,122,4
PANAMA,2010,56,5
BRITISH VIRGIN ISLANDS,2011,827,1
JERSEY,2011,190,2
GUERNSEY,2011,143,3
ISLE OF MAN,2011,127,4
SEYCHELLES,2011,63,5
BRITISH VIRGIN ISLANDS,2012,926,1
JERSEY,2012,229,2
ISLE OF MAN,2012,165,3
GUERNSEY,2012,107,4
SEYCHELLES,2012,66,5
BRITISH VIRGIN ISLANDS,2013,816,1
JERSEY,2013,328,2
ISLE OF MAN,2013,224,3
GUERNSEY,2013,199,4
SEYCHELLES,2013,75,5
BRITISH VIRGIN ISLANDS,2014,823,1
JERSEY,2014,409,2
ISLE OF MAN,2014,197,3
GUERNSEY,2014,180,4
SEYCHELLES,2014,77,5
BRITISH VIRGIN ISLANDS,2015,792,1
JERSEY,2015,517,2
GUERNSEY,2015,226,3
ISLE OF MAN,2015,208,4
LUXEMBOURG,2015,71,5
BRITISH VIRGIN ISLANDS,2016,713,1
JERSEY,2016,679,2
NETHERLANDS,2016,534,3
GUERNSEY,2016,247,4
ISLE OF MAN,2016,143,5
BRITISH VIRGIN ISLANDS,2017,650,1
JERSEY,2017,452,2
GUERNSEY,2017,337,3
ISLE OF MAN,2017,149,4
NETHERLANDS,2017,80,5
BRITISH VIRGIN ISLANDS,2018,495,1
JERSEY,2018,370,2
GUERNSEY,2018,272,3
ISLE OF MAN,2018,184,4
GIBRALTAR,2018,58,5
