"district","borough_count"
CITY OF WESTMINSTER,5243
KENSINGTON AND CHELSEA,3882
CAMDEN,1352
LAMBETH,1235
WANDSWORTH,891
HAMMERSMITH AND FULHAM,867
BARNET,827
TOWER HAMLETS,781
ISLINGTON,627
SOUTHWARK,552
HACKNEY,485
CITY OF LONDON,484
BRENT,459
EALING,433
CROYDON,401
HOUNSLOW,395
HARINGEY,363
NEWHAM,343
LEWISHAM,327
MERTON,317
HARROW,317
HILLINGDON,299
RICHMOND UPON THAMES,288
ENFIELD,232
KINGSTON UPON THAMES,232
BROMLEY,205
GREENWICH,170
WALTHAM FOREST,143
SUTTON,131
REDBRIDGE,118
HAVERING,108
BEXLEY,97
BARKING AND DAGENHAM,69
