"country_incorporated_1","acquisition_year","count"
BRITISH VIRGIN ISLANDS,2018,495
JERSEY,2018,370
GUERNSEY,2018,272
ISLE OF MAN,2018,184
GIBRALTAR,2018,58
LUXEMBOURG,2018,49
HONG KONG,2018,44
SWITZERLAND,2018,29
CYPRUS,2018,29
NETHERLANDS,2018,29
SEYCHELLES,2018,27
CAYMAN ISLANDS,2018,25
ITALY,2018,19
PANAMA,2018,19
BAHAMAS,2018,16
IRELAND,2018,16
U.S.A.,2018,14
MAURITIUS,2018,14
GERMANY,2018,11
"DELAWARE, U.S.A.",2018,11
BERMUDA,2018,10
JAPAN,2018,10
ST KITTS AND NEVIS,2018,9
SINGAPORE,2018,7
LIBERIA,2018,6
NEW ZEALAND,2018,6
LIECHTENSTEIN,2018,6
FRANCE,2018,6
ANGUILLA,2018,6
AUSTRALIA,2018,6
MALTA,2018,6
MARSHALL ISLANDS,2018,6
DUBAI,2018,5
KUWAIT,2018,5
CHINA,2018,4
"NEW YORK, U.S.A.",2018,4
MADEIRA,2018,4
BELIZE,2018,4
TURKS AND CAICOS ISLANDS,2018,4
PORTUGAL,2018,3
SWEDEN,2018,3
GREECE,2018,3
QATAR,2018,3
MALAYSIA,2018,3
DENMARK,2018,2
ISRAEL,2018,2
INDIA,2018,2
BELGIUM,2018,2
TURKEY,2018,2
ANTIGUA AND BARBUDA,2018,1
"WYOMING, U.S.A.",2018,1
GEORGIA,2018,1
UNITED REPUBLIC OF TANZANIA,2018,1
RAS AL KHAIMAH,2018,1
SWAZILAND,2018,1
CANADA,2018,1
MONACO,2018,1
SOUTH AFRICA,2018,1
"NEVADA, U.S.A.",2018,1
SERBIA,2018,1
FINLAND,2018,1
LEBANON,2018,1
ST LUCIA,2018,1
SAUDI ARABIA,2018,1
COLOMBIA,2018,1
HUNGARY,2018,1
"TEXAS, U.S.A.",2018,1
FUJAIRAH,2018,1
AFGHANISTAN,2018,1
NIGERIA,2018,1
ALDERNEY,2018,1
BRITISH VIRGIN ISLANDS,2017,650
JERSEY,2017,452
GUERNSEY,2017,337
ISLE OF MAN,2017,149
NETHERLANDS,2017,80
HONG KONG,2017,52
GIBRALTAR,2017,41
SEYCHELLES,2017,37
LUXEMBOURG,2017,35
PANAMA,2017,33
CYPRUS,2017,32
SINGAPORE,2017,28
BAHAMAS,2017,26
SWITZERLAND,2017,22
CAYMAN ISLANDS,2017,20
BELIZE,2017,16
GERMANY,2017,16
LIECHTENSTEIN,2017,15
UNITED ARAB EMIRATES,2017,13
MAURITIUS,2017,13
IRELAND,2017,13
SAUDI ARABIA,2017,12
"DELAWARE, U.S.A.",2017,11
U.S.A.,2017,10
